"ubigeo","departamento","partido","candidato","votos_cantidad","porcentaje","color"
"010000","AMAZONAS","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",58213,36.272,"#FF0000"
"030000","APURÍMAC","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",81091,40.976,"#FF0000"
"040000","AREQUIPA","PARTIDO DEL BUEN GOBIERNO","JORGE NIETO MONTESINOS",163160,18.654,"#FFFF00"
"050000","AYACUCHO","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",88382,31.311,"#FF0000"
"060000","CAJAMARCA","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",262908,41.557,"#FF0000"
"240000","CALLAO","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",116098,20.671,"#FF8C00"
"070000","CUSCO","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",154156,22.859,"#FF0000"
"080000","HUANCAVELICA","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",72292,43.361,"#FF0000"
"090000","HUÁNUCO","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",96701,29.549,"#FF0000"
"100000","ICA","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",93864,20.292,"#FF8C00"
"110000","JUNÍN","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",107311,17.037,"#FF8C00"
"120000","LA LIBERTAD","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",186354,20.233,"#FF8C00"
"130000","LAMBAYEQUE","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",174897,26.421,"#FF8C00"
"140000","LIMA","RENOVACIÓN POPULAR","RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA",1173564,19.86,"#00FFFF"
"150000","LORETO","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",83345,27.824,"#FF8C00"
"160000","MADRE DE DIOS","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",17997,23.308,"#FF0000"
"170000","MOQUEGUA","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",14551,12.861,"#FF0000"
"180000","PASCO","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",21502,18.769,"#FF8C00"
"190000","PIURA","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",238998,27.987,"#FF8C00"
"200000","PUNO","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",161018,24.92,"#FF0000"
"210000","SAN MARTÍN","JUNTOS POR EL PERÚ","ROBERTO HELBERT SANCHEZ PALOMINO",88613,23.872,"#FF0000"
"220000","TACNA","PARTIDO CÍVICO OBRAS","RICARDO PABLO BELMONT CASSINELLI",32202,14.631,"#008000"
"230000","TUMBES","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",37774,34.118,"#FF8C00"
"250000","UCAYALI","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",62564,29.601,"#FF8C00"
"020000","ÁNCASH","FUERZA POPULAR","KEIKO SOFIA FUJIMORI HIGUCHI",95327,17.973,"#FF8C00"
